sepal_length,sepal_width,petal_length,petal_width,predict_result,predict_proba
5.1,3.5,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.9,3.0,1.4,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
4.7,3.2,1.3,0.2,setosa,"[0.99125, 0.00875, 0.0]"
4.6,3.1,1.5,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.0,3.6,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
5.4,3.9,1.7,0.4,setosa,"[1.0, 0.0, 0.0]"
4.6,3.4,1.4,0.3,setosa,"[1.0, 0.0, 0.0]"
5.0,3.4,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
4.4,2.9,1.4,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
4.9,3.1,1.5,0.1,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.4,3.7,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
4.8,3.4,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
4.8,3.0,1.4,0.1,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
4.3,3.0,1.1,0.1,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.8,4.0,1.2,0.2,setosa,"[0.9326370468611848, 0.06602961980548189, 0.0013333333333333333]"
5.7,4.4,1.5,0.4,setosa,"[0.9426370468611848, 0.05736295313881521, 0.0]"
5.4,3.9,1.3,0.4,setosa,"[1.0, 0.0, 0.0]"
5.1,3.5,1.4,0.3,setosa,"[1.0, 0.0, 0.0]"
5.7,3.8,1.7,0.3,setosa,"[0.9326370468611848, 0.06736295313881521, 0.0]"
5.1,3.8,1.5,0.3,setosa,"[1.0, 0.0, 0.0]"
5.4,3.4,1.7,0.2,setosa,"[1.0, 0.0, 0.0]"
5.1,3.7,1.5,0.4,setosa,"[1.0, 0.0, 0.0]"
4.6,3.6,1.0,0.2,setosa,"[1.0, 0.0, 0.0]"
5.1,3.3,1.7,0.5,setosa,"[1.0, 0.0, 0.0]"
4.8,3.4,1.9,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.0,1.6,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.0,3.4,1.6,0.4,setosa,"[1.0, 0.0, 0.0]"
5.2,3.5,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.2,3.4,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
4.7,3.2,1.6,0.2,setosa,"[0.99125, 0.00875, 0.0]"
4.8,3.1,1.6,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.4,3.4,1.5,0.4,setosa,"[1.0, 0.0, 0.0]"
5.2,4.1,1.5,0.1,setosa,"[1.0, 0.0, 0.0]"
5.5,4.2,1.4,0.2,setosa,"[0.9518678160919539, 0.048132183908045974, 0.0]"
4.9,3.1,1.5,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.0,3.2,1.2,0.2,setosa,"[0.99125, 0.00875, 0.0]"
5.5,3.5,1.3,0.2,setosa,"[0.9218678160919539, 0.07510188087774294, 0.0030303030303030303]"
4.9,3.6,1.4,0.1,setosa,"[1.0, 0.0, 0.0]"
4.4,3.0,1.3,0.2,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.1,3.4,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.5,1.3,0.3,setosa,"[1.0, 0.0, 0.0]"
4.5,2.3,1.3,0.3,setosa,"[0.9518055555555556, 0.04819444444444445, 0.0]"
4.4,3.2,1.3,0.2,setosa,"[0.99125, 0.00875, 0.0]"
5.0,3.5,1.6,0.6,setosa,"[1.0, 0.0, 0.0]"
5.1,3.8,1.9,0.4,setosa,"[1.0, 0.0, 0.0]"
4.8,3.0,1.4,0.3,setosa,"[0.9818055555555556, 0.018194444444444444, 0.0]"
5.1,3.8,1.6,0.2,setosa,"[1.0, 0.0, 0.0]"
4.6,3.2,1.4,0.2,setosa,"[0.99125, 0.00875, 0.0]"
5.3,3.7,1.5,0.2,setosa,"[1.0, 0.0, 0.0]"
5.0,3.3,1.4,0.2,setosa,"[1.0, 0.0, 0.0]"
7.0,3.2,4.7,1.4,versicolor,"[0.0030537135278514587, 0.9167279128771173, 0.08021837359503076]"
6.4,3.2,4.5,1.5,versicolor,"[0.0030537135278514587, 0.9028239221310213, 0.09412236434112682]"
6.9,3.1,4.9,1.5,versicolor,"[0.0030537135278514587, 0.747381960218665, 0.24956432625348335]"
5.5,2.3,4.0,1.3,versicolor,"[0.003673371647509579, 0.949761711629105, 0.04656491672338503]"
6.5,2.8,4.6,1.5,versicolor,"[0.0030537135278514587, 0.8973477316548307, 0.09959855481731729]"
5.7,2.8,4.5,1.3,versicolor,"[0.0044426024167403474, 0.9489619003292937, 0.04659549725396556]"
6.3,3.3,4.7,1.6,versicolor,"[0.0018037135278514587, 0.8018329051400044, 0.19636338133214373]"
4.9,2.4,3.3,1.0,versicolor,"[0.011805555555555555, 0.895874645566177, 0.09231979887826719]"
6.6,2.9,4.6,1.3,versicolor,"[0.0030537135278514587, 0.9313612462104507, 0.06558504026169742]"
5.2,2.7,3.9,1.4,versicolor,"[0.011805555555555555, 0.8668159154074467, 0.12137852903699735]"
5.0,2.0,3.5,1.0,versicolor,"[0.011805555555555555, 0.9140156151071466, 0.07417882933729766]"
5.9,3.0,4.2,1.5,versicolor,"[0.0044426024167403474, 0.9352754534428468, 0.06028194414041245]"
6.0,2.2,4.0,1.0,versicolor,"[0.0030537135278514587, 0.8982418147489142, 0.09870447172323418]"
6.1,2.9,4.7,1.4,versicolor,"[0.0030537135278514587, 0.920583384890484, 0.076362901581664]"
5.6,2.9,3.6,1.3,versicolor,"[0.0044426024167403474, 0.9709063447737382, 0.024651052809521127]"
6.7,3.1,4.4,1.4,versicolor,"[0.0030537135278514587, 0.9231961668453712, 0.07375011962677679]"
5.6,3.0,4.5,1.5,versicolor,"[0.0044426024167403474, 0.9159738661412594, 0.07958353144199976]"
5.8,2.7,4.1,1.0,versicolor,"[0.0044426024167403474, 0.9682634876308809, 0.02729390995237827]"
6.2,2.2,4.5,1.5,versicolor,"[0.0030537135278514587, 0.859380764687864, 0.13756552178428424]"
5.6,2.5,3.9,1.1,versicolor,"[0.0044426024167403474, 0.9543745987419922, 0.04118279884126715]"
5.9,3.2,4.8,1.8,virginica,"[0.010833333333333332, 0.4446302515424664, 0.5445364151242004]"
6.1,2.8,4.0,1.3,versicolor,"[0.0030537135278514587, 0.9462087817158811, 0.05073750475626719]"
6.3,2.5,4.9,1.5,versicolor,"[0.0030537135278514587, 0.730166003660603, 0.2667802828115452]"
6.1,2.8,4.7,1.2,versicolor,"[0.0030537135278514587, 0.9364071944142937, 0.060539092057854474]"
6.4,2.9,4.3,1.3,versicolor,"[0.0030537135278514587, 0.9374786229857223, 0.059467663486425903]"
6.6,3.0,4.4,1.4,versicolor,"[0.0030537135278514587, 0.9231961668453712, 0.07375011962677679]"
6.8,2.8,4.8,1.4,versicolor,"[0.0030537135278514587, 0.7962614626606671, 0.2006848238114809]"
6.7,3.0,5.0,1.7,virginica,"[0.0018037135278514587, 0.4106618916749124, 0.5875343947972361]"
6.0,2.9,4.5,1.5,versicolor,"[0.0030537135278514587, 0.9034191602262593, 0.09352712624588871]"
5.7,2.6,3.5,1.0,versicolor,"[0.0044426024167403474, 0.968763487630881, 0.02679390995237827]"
5.5,2.4,3.8,1.1,versicolor,"[0.003673371647509579, 0.9597617116291051, 0.03656491672338504]"
5.5,2.4,3.7,1.0,versicolor,"[0.003673371647509579, 0.9597617116291051, 0.03656491672338504]"
5.8,2.7,3.9,1.2,versicolor,"[0.0044426024167403474, 0.9682634876308809, 0.02729390995237827]"
6.0,2.7,5.1,1.6,virginica,"[0.0010344827586206897, 0.42883632405534194, 0.5701291931860373]"
5.4,3.0,4.5,1.5,versicolor,"[0.041805555555555554, 0.8110405796321111, 0.14715386481233314]"
6.0,3.4,4.5,1.6,versicolor,"[0.011803713527851457, 0.7957614765685758, 0.1924348099035723]"
6.7,3.1,4.7,1.5,versicolor,"[0.0030537135278514587, 0.9031747993240038, 0.09377148714814436]"
6.3,2.3,4.4,1.3,versicolor,"[0.0030537135278514587, 0.9209468769539763, 0.07599940951817195]"
5.6,3.0,4.1,1.3,versicolor,"[0.0044426024167403474, 0.9709063447737382, 0.024651052809521127]"
5.5,2.5,4.0,1.3,versicolor,"[0.003673371647509579, 0.949761711629105, 0.04656491672338503]"
5.5,2.6,4.4,1.2,versicolor,"[0.003673371647509579, 0.9441506005179938, 0.05217602783449614]"
6.1,3.0,4.6,1.4,versicolor,"[0.0030537135278514587, 0.920583384890484, 0.076362901581664]"
5.8,2.6,4.0,1.2,versicolor,"[0.0044426024167403474, 0.9682634876308809, 0.02729390995237827]"
5.0,2.3,3.3,1.0,versicolor,"[0.011805555555555555, 0.9375936931852246, 0.05060075125921957]"
5.6,2.7,4.2,1.3,versicolor,"[0.0044426024167403474, 0.968763487630881, 0.02679390995237827]"
5.7,3.0,4.2,1.2,versicolor,"[0.0044426024167403474, 0.9709063447737382, 0.024651052809521127]"
5.7,2.9,4.2,1.3,versicolor,"[0.0044426024167403474, 0.9709063447737382, 0.024651052809521127]"
6.2,2.9,4.3,1.3,versicolor,"[0.0030537135278514587, 0.9374786229857223, 0.059467663486425903]"
5.1,2.5,3.0,1.1,versicolor,"[0.011805555555555555, 0.9175936931852245, 0.07060075125921957]"
5.7,2.8,4.1,1.3,versicolor,"[0.0044426024167403474, 0.968763487630881, 0.02679390995237827]"
